date,habit
2024-12-05,"Was I kind (4 agreements)?"
2024-12-05,"Bed time routine (self-care & massage)"
2024-12-06,"Slept 7h or more"
2024-12-06,"Morning Self-Care & Cleaning routine"
2024-12-06,"Yoga, Stretching or Core 10m or more"
2024-12-06,"Workout 15m or more"
2024-12-06,"Cold shower 1m or more"
2024-12-06,"Meditation for 5m or more"
2024-12-06,"German for 5m or more"
2024-12-06,"Flashcards for 5m or more"
2024-12-06,"Books for 5m or more"
2024-12-06,"Breathwork for 5m or more"
2024-12-06,"Free Learning or MarketWatch"
2024-12-06,"Screens & Social under 1h"
2024-12-06,"Was I kind (4 agreements)?"
2024-12-06,"No addictive products (alcohol or else)"
2024-12-06,"Proteins above 150g"
2024-12-06,"Bed time routine (self-care & massage)"
2024-12-07,"Morning Self-Care & Cleaning routine"
2024-12-07,"Yoga, Stretching or Core 10m or more"
2024-12-07,"Cold shower 1m or more"
2024-12-07,"Meditation for 5m or more"
2024-12-07,"German for 5m or more"
2024-12-07,"Flashcards for 5m or more"
2024-12-07,"Books for 5m or more"
2024-12-07,"Breathwork for 5m or more"
2024-12-07,"Free Learning or MarketWatch"
2024-12-07,"Was I kind (4 agreements)?"
2024-12-07,"No addictive products (alcohol or else)"
2024-12-07,"Slept 7h or more"
2024-12-07,"Morning Self-Care & Cleaning routine"
2024-12-07,"Yoga, Stretching or Core 10m or more"
2024-12-07,"Workout 15m or more"
2024-12-07,"Cold shower 1m or more"
2024-12-07,"Meditation for 5m or more"
2024-12-07,"German for 5m or more"
2024-12-07,"Flashcards for 5m or more"
2024-12-07,"Books for 5m or more"
2024-12-07,"Breathwork for 5m or more"
2024-12-07,"Free Learning or MarketWatch"
2024-12-07,"Certified training for 15m or more"
2024-12-07,"Screens & Social under 1h"
2024-12-07,"Was I kind (4 agreements)?"
2024-12-07,"No addictive products (alcohol or else)"
2024-12-07,"Proteins above 150g"
2024-12-07,"Bed time routine (self-care & massage)"
2024-12-08,"Slept 7h or more"
2024-12-08,"Morning Self-Care & Cleaning routine"
2024-12-08,"Yoga, Stretching or Core 10m or more"
2024-12-08,"Workout 15m or more"
2024-12-08,"Cold shower 1m or more"
2024-12-08,"Meditation for 5m or more"
2024-12-08,"German for 5m or more"
2024-12-08,"Flashcards for 5m or more"
2024-12-08,"Books for 5m or more"
2024-12-08,"Breathwork for 5m or more"
2024-12-08,"Screens & Social under 1h"
2024-12-08,"Was I kind (4 agreements)?"
2024-12-08,"No addictive products (alcohol or else)"
2024-12-10,"Slept 7h or more"
2024-12-10,"Morning Self-Care & Cleaning routine"
2024-12-10,"Yoga, Stretching or Core 10m or more"
2024-12-10,"Workout 15m or more"
2024-12-10,"Cold shower 1m or more"
2024-12-10,"Meditation for 5m or more"
2024-12-10,"German for 5m or more"
2024-12-10,"Breathwork for 5m or more"
2024-12-10,"Was I kind (4 agreements)?"
2024-12-10,"No addictive products (alcohol or else)"
2024-12-10,"Slept 7h or more"
2024-12-10,"Morning Self-Care & Cleaning routine"
2024-12-10,"Yoga, Stretching or Core 10m or more"
2024-12-10,"Workout 15m or more"
2024-12-10,"Cold shower 1m or more"
2024-12-10,"Meditation for 5m or more"
2024-12-10,"German for 5m or more"
2024-12-10,"Breathwork for 5m or more"
2024-12-10,"Screens & Social under 1h"
2024-12-10,"Was I kind (4 agreements)?"
2024-12-10,"No addictive products (alcohol or else)"
2024-12-11,"Slept 7h or more"
2024-12-11,"Morning Self-Care & Cleaning routine"
2024-12-11,"Yoga, Stretching or Core 10m or more"
2024-12-11,"Workout 15m or more"
2024-12-11,"Cold shower 1m or more"
2024-12-11,"Meditation for 5m or more"
2024-12-11,"German for 5m or more"
2024-12-11,"Screens & Social under 1h"
2024-12-11,"Was I kind (4 agreements)?"
2024-12-11,"No addictive products (alcohol or else)"
2024-12-12,"Slept 7h or more"
2024-12-12,"Morning Self-Care & Cleaning routine"
2024-12-12,"Yoga, Stretching or Core 10m or more"
2024-12-12,"Workout 15m or more"
2024-12-12,"Cold shower 1m or more"
2024-12-12,"Meditation for 5m or more"
2024-12-12,"German for 5m or more"
2024-12-12,"Books for 5m or more"
2024-12-12,"Screens & Social under 1h"
2024-12-12,"Was I kind (4 agreements)?"
2024-12-12,"No addictive products (alcohol or else)"
2024-12-13,"Slept 7h or more"
2024-12-13,"Morning Self-Care & Cleaning routine"
2024-12-13,"Yoga, Stretching or Core 10m or more"
2024-12-13,"Workout 15m or more"
2024-12-13,"Cold shower 1m or more"
2024-12-13,"Meditation for 5m or more"
2024-12-13,"German for 5m or more"
2024-12-13,"Books for 5m or more"
2024-12-13,"Breathwork for 5m or more"
2024-12-13,"Screens & Social under 1h"
2024-12-13,"Was I kind (4 agreements)?"
2024-12-13,"No addictive products (alcohol or else)"
2024-12-14,"Slept 7h or more"
2024-12-14,"Morning Self-Care & Cleaning routine"
2024-12-14,"Yoga, Stretching or Core 10m or more"
2024-12-14,"Workout 15m or more"
2024-12-14,"Cold shower 1m or more"
2024-12-14,"Meditation for 5m or more"
2024-12-14,"German for 5m or more"
2024-12-14,"Was I kind (4 agreements)?"
2024-12-14,"No addictive products (alcohol or else)"
2024-12-15,"Slept 7h or more"
2024-12-15,"Morning Self-Care & Cleaning routine"
2024-12-15,"Yoga, Stretching or Core 10m or more"
2024-12-15,"Workout 15m or more"
2024-12-15,"Cold shower 1m or more"
2024-12-15,"Meditation for 5m or more"
2024-12-15,"Screens & Social under 1h"
2024-12-15,"Was I kind (4 agreements)?"
2024-12-15,"No addictive products (alcohol or else)"
2024-12-16,"Slept 7h or more"
2024-12-16,"Morning Self-Care & Cleaning routine"
2024-12-16,"Yoga, Stretching or Core 10m or more"
2024-12-16,"Workout 15m or more"
2024-12-16,"Cold shower 1m or more"
2024-12-16,"Meditation for 5m or more"
2024-12-16,"Screens & Social under 1h"
2024-12-16,"Was I kind (4 agreements)?"
2024-12-16,"No addictive products (alcohol or else)"
2024-12-17,"Slept 7h or more"
2024-12-17,"Morning Self-Care & Cleaning routine"
2024-12-17,"Yoga, Stretching or Core 10m or more"
2024-12-17,"Workout 15m or more"
2024-12-17,"Cold shower 1m or more"
2024-12-17,"Meditation for 5m or more"
2024-12-17,"Screens & Social under 1h"
2024-12-17,"Was I kind (4 agreements)?"
2024-12-17,"No addictive products (alcohol or else)"
2024-12-18,"Slept 7h or more"
2024-12-18,"Morning Self-Care & Cleaning routine"
2024-12-18,"Yoga, Stretching or Core 10m or more"
2024-12-18,"Workout 15m or more"
2024-12-18,"Cold shower 1m or more"
2024-12-18,"Meditation for 5m or more"
2024-12-18,"Screens & Social under 1h"
2024-12-18,"Was I kind (4 agreements)?"
2024-12-18,"No addictive products (alcohol or else)"
2024-12-19,"Slept 7h or more"
2024-12-19,"Morning Self-Care & Cleaning routine"
2024-12-19,"Yoga, Stretching or Core 10m or more"
2024-12-19,"Workout 15m or more"
2024-12-19,"Cold shower 1m or more"
2024-12-19,"Meditation for 5m or more"
2024-12-19,"Screens & Social under 1h"
2024-12-19,"Was I kind (4 agreements)?"
2024-12-19,"No addictive products (alcohol or else)"
2024-12-20,"Slept 7h or more"
2024-12-20,"Morning Self-Care & Cleaning routine"
2024-12-20,"Yoga, Stretching or Core 10m or more"
